state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Nagaland,Dimapur,Child Vaccinations and Vitamin A Supplementation,46,Children age 12-23 months who have received any vaccine (%),91.9,94.2,True,False
Nagaland,Dimapur,Child Vaccinations and Vitamin A Supplementation,47,Children age 12-23 months who have received BCG (%),85.8,85.1,True,False
Nagaland,Dimapur,Child Vaccinations and Vitamin A Supplementation,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),43.8,61.3,True,False
Nagaland,Dimapur,Child Vaccinations and Vitamin A Supplementation,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),55.7,73.2,True,False
Nagaland,Dimapur,Child Vaccinations and Vitamin A Supplementation,50,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),69.9,74.6,True,False
Nagaland,Dimapur,Child Vaccinations and Vitamin A Supplementation,51,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),65.6,24.7,True,False
Nagaland,Dimapur,Child Vaccinations and Vitamin A Supplementation,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),46.2,51.7,True,False
Nagaland,Dimapur,Child Vaccinations and Vitamin A Supplementation,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),42.3,7.2,True,False
Nagaland,Dimapur,Child Vaccinations and Vitamin A Supplementation,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),47.1,49.4,False,False
Nagaland,Dimapur,Child Vaccinations and Vitamin A Supplementation,55,Children age 12-23 months who received most of their vaccinations in a public health facility (%),54.2,85.5,True,False
Nagaland,Dimapur,Child Vaccinations and Vitamin A Supplementation,56,Children age 12-23 months who received most of their vaccinations in a private health facility (%),45.8,14.5,True,False
Nagaland,Dimapur,Treatment of Childhood Diseases (children under age 5 years),57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.1,2.2,False,False
Nagaland,Dimapur,Treatment of Childhood Diseases (children under age 5 years),58,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.2,0.6,False,False
Nagaland,Dimapur,Treatment of Childhood Diseases (children under age 5 years),59,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or,46.8,36.7,True,False
Nagaland,Dimapur,Child Feeding Practices and Nutritional Status of Children,60,Children under age 3 years breastfed within one hour of birth9 (%),38.3,53.1,False,False
Nagaland,Dimapur,Child Feeding Practices and Nutritional Status of Children,61,Children under age 6 months exclusively breastfed10 (%),*,*,True,False
Nagaland,Dimapur,Child Feeding Practices and Nutritional Status of Children,62,Children under age 6 months currently breastfeeding10 (%),*,*,True,False
Nagaland,Dimapur,Child Feeding Practices and Nutritional Status of Children,63,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain water/other,*,*,True,False
Nagaland,Dimapur,Child Feeding Practices and Nutritional Status of Children,64,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),*,*,True,False
Nagaland,Dimapur,Child Feeding Practices and Nutritional Status of Children,65,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",19.7,11.2,True,False
Nagaland,Dimapur,Child Feeding Practices and Nutritional Status of Children,66,"Non-breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",*,22.6,True,False
Nagaland,Dimapur,Child Feeding Practices and Nutritional Status of Children,67,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",22.3,17.3,False,False
Nagaland,Dimapur,Child Feeding Practices and Nutritional Status of Children,68,Children under 5 years who are stunted (height-for-age)12 (%),25.6,28.3,False,False
Nagaland,Dimapur,Child Feeding Practices and Nutritional Status of Children,69,Children under 5 years who are wasted (weight-for-height)12 (%),9.7,25.0,False,False
Nagaland,Dimapur,Child Feeding Practices and Nutritional Status of Children,70,Children under 5 years who are severely wasted (weight-for-height)13 (%),6.2,12.0,False,False
Nagaland,Dimapur,Child Feeding Practices and Nutritional Status of Children,71,Children under 5 years who are underweight (weight-for-age)12 (%),14.1,29.8,False,False
Nagaland,Dimapur,Child Feeding Practices and Nutritional Status of Children,72,Children under 5 years who are overweight (weight-for-height)14 (%),9.3,3.8,False,False
Nagaland,Dimapur,Nutritional Status of Adults (age 15-49 years),73,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)15 (%),8.7,9.6,False,False
Nagaland,Dimapur,Nutritional Status of Adults (age 15-49 years),74,Women who are overweight or obese (BMI ≥25.0 kg/m2)15 (%),22.0,21.1,False,False
Nagaland,Dimapur,Women,75,Blood sugar level - high (141-160 mg/dl)16 (%),5.4,6.8,False,False
Nagaland,Dimapur,Women,76,Blood sugar level - very high (>160 mg/dl)16 (%),7.3,4.7,False,False
Nagaland,Dimapur,Women,77,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),13.2,12.0,False,False
Nagaland,Dimapur,Men,78,Blood sugar level - high (141-160 mg/dl)16 (%),7.6,5.6,False,False
Nagaland,Dimapur,Men,79,Blood sugar level - very high (>160 mg/dl)16 (%),7.2,7.4,False,False
Nagaland,Dimapur,Men,80,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),15.4,14.1,False,False
Nagaland,Dimapur,Women,81,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.0,11.0,False,False
Nagaland,Dimapur,Women,82,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm,5.5,5.2,False,False
Nagaland,Dimapur,Women,83,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to,17.7,18.6,False,False
Nagaland,Dimapur,Men,84,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.3,12.0,False,False
Nagaland,Dimapur,Men,85,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm,4.0,6.9,False,False
Nagaland,Dimapur,Men,86,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to,19.8,20.8,False,False
Nagaland,Dimapur,Men,87,Women having a bank or savings account that they themselves use (%),86.3,66.5,False,False
Nagaland,Dimapur,Men,88,Women having a mobile phone that they themselves use (%),92.7,87.9,False,False
Nagaland,Dimapur,Men,89,Women age 15-24 years who use hygienic methods of protection during their menstrual period17 (%),96.9,84.9,False,False
Nagaland,Dimapur,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),90,Women age 15 years and above who use any kind of tobacco (%),23.9,16.4,False,False
Nagaland,Dimapur,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),91,Men age 15 years and above who use any kind of tobacco (%),49.7,44.0,False,False
Nagaland,Dimapur,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),92,Women age 15 years and above who consume alcohol (%),2.3,1.7,False,False
Nagaland,Dimapur,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),93,Men age 15 years and above who consume alcohol (%),25.8,25.7,False,False
Nagaland,Kiphire,Population and Household Profile,1,Population below age 5 years (%),10.4,10.4,False,False
Nagaland,Kiphire,Population and Household Profile,2,Population below age 15 years (%),33.8,32.4,False,False
Nagaland,Kiphire,Population and Household Profile,3,Population age 60 years and above (%),10.6,7.9,False,False
Nagaland,Kiphire,Population and Household Profile,4,Population living in households with electricity (%),99.2,97.9,False,False
Nagaland,Kiphire,Population and Household Profile,5,Population living in households with an improved drinking-water source1 (%),96.5,90.9,False,False
Nagaland,Kiphire,Population and Household Profile,6,Households using iodized salt (%),96.5,99.7,False,False
Nagaland,Kiphire,Population and Household Profile,7,Households with any usual member covered under a health insurance/financing scheme (%),71.2,10.7,False,False
Nagaland,Kiphire,Population and Household Profile,8,Households with any usual member having a bank account/post office account (%),97.5,87.5,False,False
Nagaland,Kiphire,Population and Household Profile,9,Female population age 6 years and above who ever attended school (%),81.3,77.4,False,False
Nagaland,Kiphire,Population and Household Profile,10,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),9.6,12.9,False,False
Nagaland,Kiphire,Population and Household Profile,11,Children age 2-4 years who attended pre-school (%),9.0,15.1,False,False
Nagaland,Kiphire,Characteristics of Adults (age 15-49 years),12,Women with 10 or more years of schooling (%),22.8,22.0,False,False
