state,district,category,indicator_no,indicator,nfhs6_value,nfhs5_value,small_sample_flag,boundary_change_single_round
Lakshadweep,Lakshadweep,Nutritional Status of Adults (age 15-49 years),77,Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),26.3,41.3,False,False
Lakshadweep,Lakshadweep,Women,78,Blood sugar level - high (141-160 mg/dl)16 (%),8.6,8.4,False,False
Lakshadweep,Lakshadweep,Women,79,Blood sugar level - very high (>160 mg/dl)16 (%),12.2,9.9,False,False
Lakshadweep,Lakshadweep,Women,80,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood,22.5,19.5,False,False
Lakshadweep,Lakshadweep,Men,81,Blood sugar level - high (141-160 mg/dl)16 (%),8.5,10.2,False,False
Lakshadweep,Lakshadweep,Men,82,Blood sugar level - very high (>160 mg/dl)16 (%),13.4,8.1,False,False
Lakshadweep,Lakshadweep,Men,83,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood,23.8,20.7,False,False
Lakshadweep,Lakshadweep,Women,84,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or,14.9,13.9,False,False
Lakshadweep,Lakshadweep,Women,85,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or,11.0,6.5,False,False
Lakshadweep,Lakshadweep,Women,86,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking,30.7,24.8,False,False
Lakshadweep,Lakshadweep,Men,87,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or,18.3,16.6,False,False
Lakshadweep,Lakshadweep,Men,88,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or,6.7,5.1,False,False
Lakshadweep,Lakshadweep,Men,89,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking,31.0,24.7,False,False
Lakshadweep,Lakshadweep,Men,90,Currently married women who usually participate in three household decisions17 (%),94.6,92.2,False,False
Lakshadweep,Lakshadweep,Men,91,Women who worked in the last 12 months and were paid in cash (%),21.6,10.9,False,False
Lakshadweep,Lakshadweep,Men,92,Women having a bank or savings account that they themselves use (%),89.1,66.9,False,False
Lakshadweep,Lakshadweep,Men,93,Women having a mobile phone that they themselves use (%),85.8,84.0,False,False
Lakshadweep,Lakshadweep,Men,94,Women age 15-24 years who use hygienic methods of protection during their menstrual,99.7,98.3,False,False
Lakshadweep,Lakshadweep,Gender Based Violence (age 18-49 years),95,Ever-married women age 18-49 years who have ever experienced spousal violence19 (%),10.2,1.3,False,False
Lakshadweep,Lakshadweep,Gender Based Violence (age 18-49 years),96,Ever-married women age 18-49 years who have experienced physical violence during any,1.7,0.0,False,False
Lakshadweep,Lakshadweep,Gender Based Violence (age 18-49 years),97,Young women age 18-29 years who experienced sexual violence by age 18 (%),0.0,0.0,True,False
Lakshadweep,Lakshadweep,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),98,Women age 15 years and above who use any kind of tobacco (%),15.8,17.5,False,False
Lakshadweep,Lakshadweep,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),99,Men age 15 years and above who use any kind of tobacco (%),29.5,28.5,False,False
Lakshadweep,Lakshadweep,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),100,Women age 15 years and above who consume alcohol (%),0.0,0.3,False,False
Lakshadweep,Lakshadweep,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),101,Men age 15 years and above who consume alcohol (%),0.6,0.4,False,False
